ID,ALIGN,EYE,HAIR,SEX,ALIVE,APPEARANCES,YEAR,AlignCategory,HairCategory,EyeCategory,SexCategory,AliveCategory
secret identity,good characters,blue eyes,black hair,male characters,living characters,3093.0,1939.0,good,dark,light,male,living
secret identity,good characters,blue eyes,black hair,male characters,living characters,2496.0,1986.0,good,dark,light,male,living
secret identity,good characters,brown eyes,brown hair,male characters,living characters,1565.0,1959.0,good,dark,dark,male,living
public identity,good characters,brown eyes,white hair,male characters,living characters,1316.0,1987.0,good,light,dark,male,living
secret identity,good characters,blue eyes,black hair,male characters,living characters,1237.0,1940.0,good,dark,light,male,living
public identity,good characters,blue eyes,black hair,female characters,living characters,1231.0,1941.0,good,dark,light,female,living
public identity,good characters,blue eyes,blond hair,male characters,living characters,1121.0,1941.0,good,light,light,male,living
secret identity,good characters,blue eyes,black hair,male characters,living characters,1095.0,1989.0,good,dark,light,male,living
public identity,good characters,blue eyes,blond hair,female characters,living characters,1075.0,1969.0,good,light,light,female,living
secret identity,good characters,blue eyes,blond hair,male characters,living characters,1028.0,1956.0,good,light,light,male,living
secret identity,good characters,blue eyes,blond hair,female characters,living characters,1028.0,1956.0,good,light,light,female,living
secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,969.0,1940.0,good,light,light,male,deceased
secret identity,good characters,blue eyes,red hair,female characters,living characters,951.0,1967.0,good,dark,light,female,living
public identity,good characters,blue eyes,brown hair,male characters,living characters,951.0,1940.0,good,dark,light,male,living
public identity,good characters,blue eyes,black hair,female characters,living characters,934.0,1938.0,good,dark,light,female,living
public identity,good characters,blue eyes,black hair,male characters,living characters,930.0,1943.0,good,dark,light,male,living
secret identity,good characters,blue eyes,brown hair,male characters,living characters,803.0,1940.0,good,dark,light,male,living
secret identity,good characters,green eyes,black hair,male characters,living characters,716.0,1994.0,good,dark,light,male,living
public identity,good characters,brown eyes,unknown,male characters,living characters,706.0,1961.0,good,unknown,dark,male,living
public identity,bad characters,green eyes,unknown,male characters,living characters,677.0,1986.0,bad,unknown,light,male,living
secret identity,neutral characters,green eyes,red hair,male characters,living characters,654.0,1941.0,neutral,dark,light,male,living
secret identity,good characters,blue eyes,blond hair,female characters,living characters,635.0,1976.0,good,light,light,female,living
secret identity,unknown,blue eyes,black hair,male characters,living characters,605.0,1942.0,unknown,dark,light,male,living
public identity,good characters,green eyes,green hair,male characters,living characters,595.0,1965.0,good,light,light,male,living
public identity,good characters,blue eyes,red hair,male characters,living characters,593.0,1968.0,good,dark,light,male,living
public identity,good characters,brown eyes,black hair,male characters,living characters,584.0,1980.0,good,dark,dark,male,living
secret identity,good characters,blue eyes,black hair,male characters,living characters,560.0,1993.0,good,dark,light,male,living
public identity,unknown,blue eyes,red hair,male characters,deceased characters,558.0,1960.0,unknown,dark,light,male,deceased
public identity,good characters,green eyes,red hair,male characters,living characters,557.0,1986.0,good,dark,light,male,living
public identity,good characters,brown eyes,black hair,male characters,living characters,549.0,1971.0,good,dark,dark,male,living
secret identity,bad characters,green eyes,green hair,male characters,living characters,517.0,1940.0,bad,light,light,male,living
public identity,good characters,blue eyes,unknown,male characters,living characters,492.0,1959.0,good,unknown,light,male,living
public identity,good characters,purple eyes,black hair,male characters,deceased characters,487.0,1960.0,good,dark,light,male,deceased
secret identity,unknown,black eyes,unknown,male characters,living characters,470.0,1965.0,unknown,unknown,dark,male,living
public identity,good characters,blue eyes,black hair,female characters,living characters,439.0,1964.0,good,dark,light,female,living
secret identity,unknown,white eyes,unknown,male characters,living characters,436.0,1940.0,unknown,unknown,light,male,living
secret identity,unknown,blue eyes,brown hair,male characters,deceased characters,429.0,1986.0,unknown,dark,light,male,deceased
public identity,good characters,blue eyes,blond hair,male characters,living characters,427.0,1986.0,good,light,light,male,living
public identity,good characters,blue eyes,blond hair,female characters,living characters,423.0,1996.0,good,light,light,female,living
secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,422.0,1940.0,good,light,light,male,deceased
public identity,good characters,brown eyes,black hair,male characters,living characters,413.0,1974.0,good,dark,dark,male,living
secret identity,good characters,purple eyes,black hair,female characters,living characters,399.0,1980.0,good,dark,light,female,living
secret identity,good characters,blue eyes,black hair,female characters,living characters,393.0,1989.0,good,dark,light,female,living
secret identity,good characters,brown eyes,brown hair,male characters,deceased characters,391.0,1939.0,good,dark,dark,male,deceased
public identity,bad characters,red eyes,unknown,male characters,deceased characters,388.0,1970.0,bad,unknown,others,male,deceased
secret identity,good characters,blue eyes,white hair,male characters,living characters,386.0,1987.0,good,light,light,male,living
secret identity,good characters,blue eyes,unknown,male characters,living characters,386.0,1978.0,good,unknown,light,male,living
secret identity,good characters,green eyes,unknown,male characters,living characters,374.0,1968.0,good,unknown,light,male,living
public identity,good characters,blue eyes,blond hair,male characters,living characters,371.0,1984.0,good,light,light,male,living
secret identity,good characters,blue eyes,red hair,male characters,deceased characters,370.0,1940.0,good,dark,light,male,deceased
secret identity,unknown,blue eyes,blond hair,male characters,deceased characters,361.0,1941.0,unknown,light,light,male,deceased
secret identity,good characters,brown eyes,brown hair,male characters,deceased characters,356.0,1941.0,good,dark,dark,male,deceased
public identity,neutral characters,red eyes,black hair,male characters,living characters,353.0,1983.0,neutral,dark,others,male,living
public identity,unknown,blue eyes,brown hair,male characters,living characters,350.0,1986.0,unknown,dark,light,male,living
public identity,good characters,brown eyes,unknown,male characters,living characters,345.0,1993.0,good,unknown,dark,male,living
secret identity,good characters,brown eyes,unknown,male characters,living characters,344.0,1977.0,good,unknown,dark,male,living
secret identity,neutral characters,blue eyes,white hair,male characters,living characters,336.0,1980.0,neutral,light,light,male,living
secret identity,unknown,black eyes,black hair,male characters,living characters,335.0,1952.0,unknown,dark,dark,male,living
secret identity,good characters,green eyes,green hair,female characters,living characters,325.0,1982.0,good,light,light,female,living
secret identity,good characters,blue eyes,black hair,male characters,living characters,321.0,1940.0,good,dark,light,male,living
public identity,neutral characters,blue eyes,black hair,female characters,living characters,319.0,1959.0,neutral,dark,light,female,living
public identity,unknown,photocellular eyes,unknown,male characters,living characters,314.0,1963.0,unknown,unknown,others,male,living
public identity,neutral characters,red eyes,unknown,male characters,living characters,311.0,1972.0,neutral,unknown,others,male,living
secret identity,good characters,green eyes,green hair,female characters,living characters,309.0,1983.0,good,light,light,female,living
public identity,good characters,red eyes,unknown,male characters,living characters,309.0,1972.0,good,unknown,others,male,living
secret identity,good characters,brown eyes,black hair,female characters,living characters,308.0,1992.0,good,dark,dark,female,living
public identity,bad characters,blue eyes,brown hair,male characters,living characters,306.0,1942.0,bad,dark,light,male,living
secret identity,good characters,blue eyes,blond hair,female characters,living characters,305.0,1999.0,good,light,light,female,living
secret identity,good characters,hazel eyes,brown hair,female characters,deceased characters,301.0,1999.0,good,dark,light,female,deceased
secret identity,unknown,brown eyes,black hair,male characters,living characters,300.0,1997.0,unknown,dark,dark,male,living
public identity,good characters,red eyes,unknown,male characters,living characters,299.0,1986.0,good,unknown,others,male,living
secret identity,good characters,blue eyes,blond hair,female characters,living characters,297.0,2004.0,good,light,light,female,living
public identity,good characters,blue eyes,blond hair,male characters,deceased characters,291.0,1972.0,good,light,light,male,deceased
secret identity,good characters,blue eyes,brown hair,male characters,living characters,288.0,1940.0,good,dark,light,male,living
secret identity,neutral characters,green eyes,red hair,female characters,living characters,286.0,1966.0,neutral,dark,light,female,living
secret identity,good characters,blue eyes,black hair,male characters,living characters,284.0,1999.0,good,dark,light,male,living
secret identity,good characters,blue eyes,blond hair,male characters,living characters,282.0,1940.0,good,light,light,male,living
secret identity,good characters,amber eyes,brown hair,female characters,living characters,268.0,1981.0,good,dark,light,female,living
secret identity,good characters,blue eyes,black hair,male characters,living characters,268.0,1971.0,good,dark,light,male,living
public identity,good characters,blue eyes,white hair,female characters,living characters,266.0,1986.0,good,light,light,female,living
secret identity,good characters,blue eyes,unknown,male characters,deceased characters,262.0,1967.0,good,unknown,light,male,deceased
public identity,unknown,brown eyes,brown hair,male characters,deceased characters,261.0,1942.0,unknown,dark,dark,male,deceased
secret identity,good characters,blue eyes,black hair,male characters,deceased characters,256.0,1938.0,good,dark,light,male,deceased
public identity,good characters,blue eyes,white hair,male characters,deceased characters,254.0,1986.0,good,light,light,male,deceased
public identity,unknown,blue eyes,black hair,male characters,living characters,253.0,1941.0,unknown,dark,light,male,living
secret identity,good characters,brown eyes,black hair,female characters,living characters,252.0,1983.0,good,dark,dark,female,living
secret identity,good characters,blue eyes,blond hair,male characters,living characters,250.0,1963.0,good,light,light,male,living
secret identity,good characters,blue eyes,unknown,male characters,living characters,245.0,1983.0,good,unknown,light,male,living
secret identity,good characters,green eyes,strawberry blond hair,male characters,living characters,245.0,1983.0,good,light,light,male,living
secret identity,good characters,blue eyes,blond hair,male characters,living characters,241.0,1941.0,good,light,light,male,living
secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,239.0,1941.0,good,light,light,male,deceased
public identity,good characters,blue eyes,strawberry blond hair,male characters,deceased characters,237.0,1971.0,good,light,light,male,deceased
public identity,neutral characters,yellow eyes,black hair,male characters,living characters,237.0,1961.0,neutral,dark,light,male,living
secret identity,good characters,brown eyes,black hair,female characters,living characters,235.0,1999.0,good,dark,dark,female,living
secret identity,neutral characters,blue eyes,black hair,male characters,living characters,235.0,1987.0,neutral,dark,light,male,living
public identity,good characters,unknown,black hair,female characters,deceased characters,235.0,1961.0,good,dark,unknown,female,deceased
secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,234.0,1992.0,good,light,light,male,deceased
public identity,good characters,blue eyes,black hair,female characters,living characters,231.0,1987.0,good,dark,light,female,living
secret identity,neutral characters,green eyes,blond hair,male characters,living characters,229.0,1984.0,neutral,light,light,male,living
secret identity,good characters,blue eyes,blond hair,male characters,living characters,229.0,1965.0,good,light,light,male,living
secret identity,good characters,blue eyes,black hair,male characters,deceased characters,229.0,1941.0,good,dark,light,male,deceased
public identity,good characters,blue eyes,blond hair,female characters,living characters,228.0,1992.0,good,light,light,female,living
secret identity,neutral characters,blue eyes,brown hair,male characters,living characters,227.0,1950.0,neutral,dark,light,male,living
public identity,unknown,blue eyes,red hair,female characters,living characters,226.0,1963.0,unknown,dark,light,female,living
public identity,good characters,blue eyes,white hair,female characters,living characters,225.0,1988.0,good,light,light,female,living
secret identity,unknown,brown eyes,brown hair,male characters,living characters,224.0,1960.0,unknown,dark,dark,male,living
public identity,good characters,brown eyes,black hair,female characters,living characters,222.0,1986.0,good,dark,dark,female,living
public identity,bad characters,blue eyes,brown hair,male characters,living characters,222.0,1941.0,bad,dark,light,male,living
secret identity,unknown,brown eyes,brown hair,male characters,living characters,219.0,1957.0,unknown,dark,dark,male,living
secret identity,good characters,brown eyes,red hair,female characters,living characters,219.0,1940.0,good,dark,dark,female,living
public identity,neutral characters,black eyes,brown hair,male characters,living characters,218.0,1987.0,neutral,dark,dark,male,living
public identity,good characters,blue eyes,brown hair,male characters,living characters,218.0,1961.0,good,dark,light,male,living
secret identity,good characters,blue eyes,black hair,male characters,deceased characters,216.0,1987.0,good,dark,light,male,deceased
secret identity,good characters,blue eyes,black hair,female characters,deceased characters,216.0,1971.0,good,dark,light,female,deceased
public identity,good characters,blue eyes,grey hair,male characters,living characters,214.0,1963.0,good,light,light,male,living
secret identity,good characters,blue eyes,red hair,male characters,deceased characters,214.0,1940.0,good,dark,light,male,deceased
public identity,good characters,grey eyes,grey hair,male characters,living characters,213.0,1937.0,good,light,light,male,living
public identity,good characters,brown eyes,brown hair,male characters,living characters,212.0,1985.0,good,dark,dark,male,living
public identity,good characters,unknown,brown hair,male characters,deceased characters,212.0,1961.0,good,dark,unknown,male,deceased
public identity,good characters,brown eyes,brown hair,male characters,living characters,208.0,1983.0,good,dark,dark,male,living
secret identity,good characters,red eyes,unknown,male characters,living characters,207.0,1940.0,good,unknown,others,male,living
public identity,good characters,blue eyes,blond hair,female characters,living characters,206.0,1988.0,good,light,light,female,living
public identity,good characters,unknown,black hair,male characters,living characters,206.0,1942.0,good,dark,unknown,male,living
public identity,good characters,blue eyes,black hair,male characters,deceased characters,199.0,1940.0,good,dark,light,male,deceased
secret identity,good characters,blue eyes,blond hair,female characters,living characters,198.0,1992.0,good,light,light,female,living
secret identity,good characters,green eyes,red hair,male characters,living characters,192.0,1992.0,good,dark,light,male,living
public identity,good characters,hazel eyes,brown hair,male characters,living characters,191.0,1951.0,good,dark,light,male,living
secret identity,unknown,black eyes,black hair,female characters,living characters,189.0,1985.0,unknown,dark,dark,female,living
secret identity,good characters,blue eyes,black hair,male characters,living characters,188.0,1968.0,good,dark,light,male,living
public identity,unknown,brown eyes,black hair,male characters,living characters,188.0,1943.0,unknown,dark,dark,male,living
secret identity,good characters,blue eyes,blond hair,male characters,living characters,184.0,1941.0,good,light,light,male,living
secret identity,good characters,blue eyes,grey hair,male characters,living characters,183.0,1940.0,good,light,light,male,living
public identity,good characters,blue eyes,white hair,female characters,living characters,182.0,1973.0,good,light,light,female,living
secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,181.0,1947.0,good,light,light,male,deceased
public identity,unknown,blue eyes,unknown,female characters,living characters,180.0,1987.0,unknown,unknown,light,female,living
public identity,bad characters,red eyes,unknown,male characters,living characters,180.0,1983.0,bad,unknown,others,male,living
public identity,good characters,blue eyes,white hair,male characters,deceased characters,180.0,1975.0,good,light,light,male,deceased
public identity,bad characters,grey eyes,black hair,male characters,living characters,179.0,1959.0,bad,dark,light,male,living
secret identity,bad characters,brown eyes,brown hair,female characters,deceased characters,177.0,1971.0,bad,dark,dark,female,deceased
public identity,unknown,blue eyes,blond hair,male characters,living characters,177.0,1958.0,unknown,light,light,male,living
secret identity,good characters,blue eyes,red hair,male characters,living characters,177.0,1941.0,good,dark,light,male,living
secret identity,good characters,yellow eyes,unknown,male characters,living characters,176.0,1984.0,good,unknown,light,male,living
public identity,good characters,blue eyes,brown hair,male characters,living characters,176.0,1971.0,good,dark,light,male,living
public identity,good characters,brown eyes,black hair,male characters,living characters,176.0,1960.0,good,dark,dark,male,living
secret identity,good characters,blue eyes,blond hair,female characters,living characters,175.0,1983.0,good,light,light,female,living
secret identity,good characters,red eyes,brown hair,male characters,living characters,175.0,1968.0,good,dark,others,male,living
secret identity,good characters,green eyes,blond hair,male characters,living characters,174.0,1994.0,good,light,light,male,living
public identity,unknown,brown eyes,black hair,female characters,living characters,174.0,1989.0,unknown,dark,dark,female,living
secret identity,bad characters,black eyes,white hair,male characters,deceased characters,174.0,1944.0,bad,light,dark,male,deceased
public identity,neutral characters,blue eyes,black hair,male characters,living characters,173.0,1988.0,neutral,dark,light,male,living
public identity,good characters,yellow eyes,blond hair,female characters,living characters,173.0,1981.0,good,light,light,female,living
secret identity,good characters,red eyes,unknown,male characters,living characters,171.0,1942.0,good,unknown,others,male,living
public identity,unknown,blue eyes,grey hair,female characters,living characters,171.0,1940.0,unknown,light,light,female,living
public identity,good characters,blue eyes,brown hair,male characters,living characters,170.0,1962.0,good,dark,light,male,living
secret identity,good characters,blue eyes,brown hair,female characters,living characters,168.0,1995.0,good,dark,light,female,living
public identity,bad characters,green eyes,black hair,female characters,deceased characters,168.0,1961.0,bad,dark,light,female,deceased
public identity,unknown,blue eyes,white hair,male characters,living characters,167.0,1971.0,unknown,light,light,male,living
public identity,good characters,blue eyes,black hair,male characters,deceased characters,166.0,1994.0,good,dark,light,male,deceased
secret identity,good characters,brown eyes,brown hair,female characters,living characters,166.0,1963.0,good,dark,dark,female,living
secret identity,good characters,brown eyes,black hair,male characters,living characters,165.0,2004.0,good,dark,dark,male,living
secret identity,good characters,blue eyes,white hair,male characters,deceased characters,165.0,1983.0,good,light,light,male,deceased
secret identity,good characters,photocellular eyes,unknown,male characters,living characters,165.0,1962.0,good,unknown,others,male,living
secret identity,good characters,brown eyes,black hair,male characters,living characters,164.0,2006.0,good,dark,dark,male,living
secret identity,good characters,photocellular eyes,unknown,female characters,living characters,164.0,1962.0,good,unknown,others,female,living
public identity,good characters,unknown,brown hair,male characters,living characters,164.0,1942.0,good,dark,unknown,male,living
secret identity,good characters,black eyes,black hair,male characters,deceased characters,164.0,1942.0,good,dark,dark,male,deceased
public identity,good characters,green eyes,blond hair,male characters,living characters,163.0,1964.0,good,light,light,male,living
public identity,good characters,blue eyes,brown hair,male characters,living characters,163.0,1949.0,good,dark,light,male,living
secret identity,unknown,blue eyes,white hair,male characters,living characters,162.0,1940.0,unknown,light,light,male,living
secret identity,neutral characters,blue eyes,black hair,male characters,deceased characters,161.0,1971.0,neutral,dark,light,male,deceased
secret identity,good characters,photocellular eyes,unknown,male characters,living characters,161.0,1962.0,good,unknown,others,male,living
public identity,unknown,blue eyes,brown hair,male characters,living characters,161.0,1960.0,unknown,dark,light,male,living
secret identity,good characters,blue eyes,red hair,male characters,living characters,160.0,1959.0,good,dark,light,male,living
public identity,good characters,green eyes,red hair,female characters,living characters,159.0,1986.0,good,dark,light,female,living
secret identity,good characters,blue eyes,white hair,female characters,living characters,158.0,1992.0,good,light,light,female,living
public identity,bad characters,black eyes,black hair,male characters,living characters,158.0,1971.0,bad,dark,dark,male,living
secret identity,good characters,black eyes,black hair,male characters,living characters,158.0,1961.0,good,dark,dark,male,living
secret identity,bad characters,brown eyes,brown hair,male characters,living characters,157.0,1993.0,bad,dark,dark,male,living
secret identity,good characters,white eyes,unknown,male characters,living characters,155.0,1982.0,good,unknown,light,male,living
secret identity,good characters,photocellular eyes,unknown,male characters,living characters,155.0,1962.0,good,unknown,others,male,living
identity unknown,good characters,unknown,red hair,male characters,deceased characters,155.0,1937.0,good,dark,unknown,male,deceased
secret identity,neutral characters,blue eyes,blond hair,female characters,living characters,154.0,1966.0,neutral,light,light,female,living
public identity,bad characters,blue eyes,blond hair,female characters,living characters,153.0,1999.0,bad,light,light,female,living
secret identity,neutral characters,brown eyes,black hair,male characters,living characters,153.0,1975.0,neutral,dark,dark,male,living
secret identity,bad characters,blue eyes,black hair,male characters,living characters,152.0,1960.0,bad,dark,light,male,living
secret identity,neutral characters,brown eyes,black hair,male characters,living characters,152.0,1945.0,neutral,dark,dark,male,living
public identity,good characters,blue eyes,blond hair,female characters,living characters,151.0,1987.0,good,light,light,female,living
secret identity,good characters,blue eyes,brown hair,male characters,deceased characters,151.0,1942.0,good,dark,light,male,deceased
public identity,good characters,blue eyes,red hair,male characters,living characters,148.0,1972.0,good,dark,light,male,living
secret identity,good characters,photocellular eyes,unknown,male characters,living characters,147.0,1962.0,good,unknown,others,male,living
secret identity,bad characters,blue eyes,unknown,male characters,living characters,143.0,1959.0,bad,unknown,light,male,living
public identity,good characters,brown eyes,brown hair,male characters,deceased characters,142.0,1987.0,good,dark,dark,male,deceased
public identity,bad characters,black eyes,black hair,male characters,deceased characters,142.0,1962.0,bad,dark,dark,male,deceased
public identity,good characters,unknown,black hair,male characters,living characters,142.0,1957.0,good,dark,unknown,male,living
public identity,good characters,green eyes,red hair,female characters,living characters,141.0,1994.0,good,dark,light,female,living
public identity,good characters,blue eyes,black hair,female characters,living characters,141.0,1958.0,good,dark,light,female,living
public identity,good characters,blue eyes,white hair,male characters,living characters,140.0,1967.0,good,light,light,male,living
secret identity,good characters,blue eyes,brown hair,male characters,living characters,140.0,1964.0,good,dark,light,male,living
secret identity,good characters,black eyes,black hair,male characters,deceased characters,139.0,1938.0,good,dark,dark,male,deceased
secret identity,good characters,brown eyes,grey hair,male characters,deceased characters,138.0,1978.0,good,light,dark,male,deceased
secret identity,unknown,blue eyes,strawberry blond hair,male characters,living characters,138.0,1971.0,unknown,light,light,male,living
public identity,unknown,unknown,unknown,male characters,living characters,137.0,1942.0,unknown,unknown,unknown,male,living
identity unknown,good characters,unknown,red hair,male characters,living characters,137.0,1941.0,good,dark,unknown,male,living
secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,136.0,1970.0,good,light,light,male,deceased
secret identity,neutral characters,blue eyes,blond hair,male characters,deceased characters,136.0,1960.0,neutral,light,light,male,deceased
secret identity,good characters,blue eyes,black hair,female characters,living characters,134.0,1984.0,good,dark,light,female,living
public identity,good characters,blue eyes,red hair,female characters,living characters,134.0,1948.0,good,dark,light,female,living
public identity,good characters,brown eyes,black hair,male characters,living characters,133.0,1979.0,good,dark,dark,male,living
public identity,good characters,green eyes,white hair,male characters,living characters,132.0,1992.0,good,light,light,male,living
public identity,good characters,grey eyes,white hair,male characters,deceased characters,132.0,1971.0,good,light,light,male,deceased
public identity,unknown,brown eyes,unknown,female characters,living characters,131.0,1987.0,unknown,unknown,dark,female,living
secret identity,good characters,blue eyes,brown hair,male characters,living characters,131.0,1976.0,good,dark,light,male,living
secret identity,bad characters,red eyes,black hair,male characters,living characters,131.0,1963.0,bad,dark,others,male,living
public identity,unknown,blue eyes,unknown,male characters,living characters,131.0,1963.0,unknown,unknown,light,male,living
public identity,good characters,brown eyes,blond hair,male characters,living characters,131.0,1957.0,good,light,dark,male,living
public identity,good characters,blue eyes,red hair,male characters,living characters,131.0,1957.0,good,dark,light,male,living
secret identity,good characters,blue eyes,black hair,female characters,deceased characters,131.0,1947.0,good,dark,light,female,deceased
secret identity,neutral characters,brown eyes,brown hair,male characters,living characters,130.0,1970.0,neutral,dark,dark,male,living
public identity,good characters,blue eyes,brown hair,male characters,living characters,130.0,1964.0,good,dark,light,male,living
identity unknown,good characters,black eyes,white hair,male characters,living characters,130.0,1941.0,good,light,dark,male,living
public identity,good characters,unknown,black hair,female characters,deceased characters,129.0,1964.0,good,dark,unknown,female,deceased
public identity,good characters,brown eyes,brown hair,male characters,living characters,129.0,1957.0,good,dark,dark,male,living
secret identity,good characters,blue eyes,strawberry blond hair,male characters,deceased characters,128.0,1967.0,good,light,light,male,deceased
public identity,bad characters,red eyes,blond hair,male characters,living characters,127.0,1987.0,bad,light,others,male,living
public identity,good characters,unknown,black hair,male characters,living characters,127.0,1942.0,good,dark,unknown,male,living
public identity,good characters,photocellular eyes,black hair,male characters,deceased characters,126.0,1989.0,good,dark,others,male,deceased
public identity,bad characters,hazel eyes,grey hair,male characters,living characters,126.0,1987.0,bad,light,light,male,living
secret identity,neutral characters,grey eyes,black hair,male characters,living characters,126.0,1942.0,neutral,dark,light,male,living
secret identity,good characters,blue eyes,black hair,male characters,living characters,125.0,1995.0,good,dark,light,male,living
secret identity,good characters,blue eyes,black hair,male characters,living characters,125.0,1989.0,good,dark,light,male,living
secret identity,unknown,grey eyes,black hair,male characters,living characters,125.0,1935.0,unknown,dark,light,male,living
public identity,good characters,brown eyes,red hair,female characters,deceased characters,124.0,1989.0,good,dark,dark,female,deceased
secret identity,good characters,blue eyes,white hair,female characters,living characters,124.0,1988.0,good,light,light,female,living
secret identity,good characters,green eyes,strawberry blond hair,female characters,deceased characters,124.0,1940.0,good,light,light,female,deceased
secret identity,good characters,blue eyes,blond hair,female characters,living characters,123.0,1996.0,good,light,light,female,living
public identity,good characters,green eyes,unknown,male characters,living characters,123.0,1971.0,good,unknown,light,male,living
public identity,good characters,blue eyes,blond hair,male characters,deceased characters,123.0,1959.0,good,light,light,male,deceased
secret identity,good characters,blue eyes,black hair,female characters,living characters,122.0,1996.0,good,dark,light,female,living
public identity,good characters,black eyes,black hair,male characters,living characters,122.0,1994.0,good,dark,dark,male,living
public identity,good characters,unknown,unknown,male characters,living characters,122.0,1986.0,good,unknown,unknown,male,living
public identity,good characters,green eyes,black hair,female characters,living characters,121.0,1978.0,good,dark,light,female,living
secret identity,good characters,unknown,unknown,unknown,living characters,121.0,1964.0,good,unknown,unknown,unknown,living
public identity,good characters,blue eyes,strawberry blond hair,male characters,deceased characters,121.0,1959.0,good,light,light,male,deceased
secret identity,unknown,blue eyes,blond hair,female characters,living characters,120.0,1942.0,unknown,light,light,female,living
public identity,neutral characters,grey eyes,brown hair,female characters,living characters,118.0,1958.0,neutral,dark,light,female,living
secret identity,good characters,brown eyes,unknown,male characters,deceased characters,116.0,2000.0,good,unknown,dark,male,deceased
secret identity,bad characters,brown eyes,brown hair,male characters,living characters,116.0,1989.0,bad,dark,dark,male,living
public identity,good characters,blue eyes,red hair,male characters,deceased characters,116.0,1981.0,good,dark,light,male,deceased
public identity,good characters,white eyes,unknown,female characters,living characters,115.0,1989.0,good,unknown,light,female,living
public identity,bad characters,blue eyes,white hair,female characters,deceased characters,115.0,1971.0,bad,light,light,female,deceased
identity unknown,good characters,blue eyes,silver hair,female characters,deceased characters,115.0,1968.0,good,light,light,female,deceased
public identity,neutral characters,blue eyes,white hair,male characters,living characters,115.0,1941.0,neutral,light,light,male,living
secret identity,good characters,blue eyes,red hair,female characters,living characters,114.0,1987.0,good,dark,light,female,living
public identity,good characters,blue eyes,black hair,female characters,deceased characters,113.0,1987.0,good,dark,light,female,deceased
public identity,bad characters,red eyes,green hair,male characters,living characters,113.0,1962.0,bad,light,others,male,living
secret identity,good characters,brown eyes,brown hair,male characters,deceased characters,113.0,1941.0,good,dark,dark,male,deceased
public identity,good characters,hazel eyes,brown hair,female characters,deceased characters,113.0,1940.0,good,dark,light,female,deceased
secret identity,good characters,yellow eyes,grey hair,male characters,deceased characters,111.0,1984.0,good,light,light,male,deceased
public identity,good characters,blue eyes,white hair,female characters,living characters,111.0,1976.0,good,light,light,female,living
secret identity,good characters,blue eyes,blond hair,female characters,deceased characters,110.0,1991.0,good,light,light,female,deceased
secret identity,good characters,brown eyes,brown hair,male characters,deceased characters,110.0,1987.0,good,dark,dark,male,deceased
secret identity,good characters,green eyes,black hair,female characters,living characters,110.0,1966.0,good,dark,light,female,living
secret identity,good characters,blue eyes,blond hair,female characters,living characters,109.0,2001.0,good,light,light,female,living
secret identity,good characters,blue eyes,white hair,male characters,living characters,109.0,1955.0,good,light,light,male,living
public identity,good characters,black eyes,black hair,male characters,living characters,109.0,1949.0,good,dark,dark,male,living
secret identity,good characters,brown eyes,brown hair,male characters,deceased characters,109.0,1942.0,good,dark,dark,male,deceased
public identity,good characters,red eyes,white hair,male characters,living characters,108.0,1997.0,good,light,others,male,living
secret identity,good characters,green eyes,blond hair,male characters,living characters,108.0,1968.0,good,light,light,male,living
secret identity,neutral characters,blue eyes,blond hair,male characters,living characters,108.0,1963.0,neutral,light,light,male,living
public identity,good characters,blue eyes,red hair,female characters,living characters,107.0,1985.0,good,dark,light,female,living
secret identity,good characters,green eyes,strawberry blond hair,female characters,deceased characters,107.0,1970.0,good,light,light,female,deceased
secret identity,good characters,blue eyes,blond hair,male characters,living characters,106.0,1980.0,good,light,light,male,living
public identity,good characters,blue eyes,red hair,male characters,living characters,106.0,1965.0,good,dark,light,male,living
secret identity,good characters,blue eyes,brown hair,male characters,living characters,106.0,1948.0,good,dark,light,male,living
public identity,good characters,green eyes,blond hair,female characters,deceased characters,105.0,1982.0,good,light,light,female,deceased
public identity,good characters,unknown,brown hair,male characters,living characters,105.0,1963.0,good,dark,unknown,male,living
identity unknown,good characters,unknown,blond hair,female characters,living characters,105.0,1956.0,good,light,unknown,female,living
secret identity,bad characters,blue eyes,red hair,male characters,living characters,105.0,1948.0,bad,dark,light,male,living
secret identity,good characters,blue eyes,black hair,female characters,living characters,104.0,1989.0,good,dark,light,female,living
secret identity,neutral characters,blue eyes,blond hair,male characters,living characters,104.0,1978.0,neutral,light,light,male,living
identity unknown,neutral characters,blue eyes,blond hair,female characters,living characters,104.0,1965.0,neutral,light,light,female,living
secret identity,good characters,blue eyes,blond hair,female characters,living characters,104.0,1959.0,good,light,light,female,living
identity unknown,good characters,unknown,red hair,male characters,living characters,104.0,1956.0,good,dark,unknown,male,living
public identity,neutral characters,blue eyes,blond hair,female characters,living characters,104.0,1941.0,neutral,light,light,female,living
public identity,good characters,blue eyes,blond hair,female characters,deceased characters,103.0,1987.0,good,light,light,female,deceased
secret identity,bad characters,green eyes,black hair,female characters,living characters,103.0,1983.0,bad,dark,light,female,living
