ID,ALIGN,EYE,HAIR,SEX,ALIVE,APPEARANCES,YEAR,AlignCategory,HairCategory,EyeCategory,SexCategory,AliveCategory
secret identity,good characters,white eyes,unknown,male characters,living characters,34.0,1981.0,good,unknown,light,male,living
public identity,good characters,blue eyes,blond hair,female characters,living characters,34.0,1957.0,good,light,light,female,living
secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,34.0,1955.0,good,light,light,male,deceased
secret identity,bad characters,unknown,unknown,unknown,deceased characters,34.0,1940.0,bad,unknown,unknown,unknown,deceased
secret identity,good characters,blue eyes,blond hair,male characters,living characters,34.0,1940.0,good,light,light,male,living
identity unknown,neutral characters,red eyes,black hair,male characters,deceased characters,33.0,2007.0,neutral,dark,others,male,deceased
secret identity,good characters,blue eyes,black hair,female characters,living characters,33.0,2004.0,good,dark,light,female,living
public identity,good characters,amber eyes,unknown,male characters,living characters,33.0,1999.0,good,unknown,light,male,living
public identity,good characters,blue eyes,black hair,male characters,living characters,33.0,1993.0,good,dark,light,male,living
secret identity,bad characters,unknown,unknown,male characters,deceased characters,33.0,1992.0,bad,unknown,unknown,male,deceased
secret identity,good characters,blue eyes,blond hair,female characters,living characters,33.0,1992.0,good,light,light,female,living
secret identity,good characters,blue eyes,black hair,male characters,living characters,33.0,1990.0,good,dark,light,male,living
secret identity,bad characters,blue eyes,blond hair,female characters,living characters,33.0,1988.0,bad,light,light,female,living
identity unknown,neutral characters,unknown,grey hair,male characters,living characters,33.0,1987.0,neutral,light,unknown,male,living
public identity,neutral characters,blue eyes,black hair,female characters,living characters,33.0,1984.0,neutral,dark,light,female,living
secret identity,good characters,brown eyes,black hair,male characters,deceased characters,33.0,1982.0,good,dark,dark,male,deceased
identity unknown,neutral characters,blue eyes,brown hair,female characters,living characters,33.0,1982.0,neutral,dark,light,female,living
public identity,bad characters,unknown,unknown,male characters,living characters,33.0,1971.0,bad,unknown,unknown,male,living
secret identity,bad characters,unknown,white hair,male characters,living characters,33.0,1968.0,bad,light,unknown,male,living
identity unknown,good characters,unknown,unknown,male characters,deceased characters,33.0,1965.0,good,unknown,unknown,male,deceased
secret identity,bad characters,unknown,red hair,male characters,deceased characters,33.0,1942.0,bad,dark,unknown,male,deceased
secret identity,good characters,blue eyes,brown hair,male characters,deceased characters,33.0,1941.0,good,dark,light,male,deceased
secret identity,good characters,green eyes,black hair,female characters,living characters,32.0,2006.0,good,dark,light,female,living
secret identity,good characters,unknown,brown hair,male characters,living characters,32.0,2003.0,good,dark,unknown,male,living
identity unknown,good characters,red eyes,unknown,male characters,deceased characters,32.0,1996.0,good,unknown,others,male,deceased
secret identity,bad characters,blue eyes,blond hair,male characters,living characters,32.0,1995.0,bad,light,light,male,living
public identity,good characters,orange eyes,orange hair,male characters,living characters,32.0,1995.0,good,light,light,male,living
secret identity,good characters,blue eyes,blond hair,female characters,living characters,32.0,1994.0,good,light,light,female,living
secret identity,good characters,white eyes,grey hair,male characters,living characters,32.0,1994.0,good,light,light,male,living
secret identity,good characters,white eyes,white hair,male characters,deceased characters,32.0,1994.0,good,light,light,male,deceased
secret identity,bad characters,black eyes,unknown,male characters,living characters,32.0,1992.0,bad,unknown,dark,male,living
secret identity,bad characters,black eyes,unknown,male characters,living characters,32.0,1991.0,bad,unknown,dark,male,living
secret identity,good characters,unknown,blond hair,female characters,living characters,32.0,1991.0,good,light,unknown,female,living
public identity,good characters,blue eyes,blond hair,male characters,living characters,32.0,1990.0,good,light,light,male,living
public identity,good characters,blue eyes,brown hair,male characters,deceased characters,32.0,1990.0,good,dark,light,male,deceased
secret identity,bad characters,unknown,unknown,male characters,living characters,32.0,1989.0,bad,unknown,unknown,male,living
public identity,unknown,brown eyes,black hair,male characters,living characters,32.0,1988.0,unknown,dark,dark,male,living
secret identity,good characters,unknown,unknown,male characters,deceased characters,32.0,1988.0,good,unknown,unknown,male,deceased
identity unknown,bad characters,blue eyes,blond hair,male characters,living characters,32.0,1986.0,bad,light,light,male,living
secret identity,good characters,blue eyes,blond hair,female characters,living characters,32.0,1986.0,good,light,light,female,living
public identity,good characters,auburn hair,unknown,female characters,living characters,32.0,1984.0,good,unknown,others,female,living
public identity,good characters,blue eyes,unknown,female characters,deceased characters,32.0,1984.0,good,unknown,light,female,deceased
public identity,good characters,blue eyes,blond hair,male characters,deceased characters,32.0,1984.0,good,light,light,male,deceased
public identity,good characters,yellow eyes,blond hair,male characters,living characters,32.0,1983.0,good,light,light,male,living
secret identity,good characters,brown eyes,black hair,male characters,living characters,32.0,1977.0,good,dark,dark,male,living
secret identity,bad characters,brown eyes,black hair,male characters,living characters,32.0,1976.0,bad,dark,dark,male,living
public identity,good characters,blue eyes,blond hair,male characters,living characters,32.0,1972.0,good,light,light,male,living
